artifact_path	entry_type	line_or_entry	main_class	class_path	content
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	376			- translates **Deterministic Timed Rebeca (DTR)** models into **Lingua Franca**,
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	384			ReLico currently targets a deterministic subset of Timed Rebeca.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	540			https://github.com/rebeca-lang/org.rebecalang.rmc/releases/download/2.14/rmc-2.14.jar
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	565			This repository includes or adapts work built on the Rebeca compiler framework and should retain the associated license and provenance notices.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	576			- Maven dependencies used by the Java compiler project,
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	7			1. model the system in Timed Rebeca,
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	53			- `smarthome.rebeca`
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	54			Timed Rebeca source model for the smart-home example.
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	60			The direct Lingua Franca output generated by ReLico from `smarthome.rebeca`.
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	107			The purpose of this example is to show that properties verified at the Timed Rebeca level can still be observed in a concrete execution pipeline.
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	120			The Timed Rebeca model uses explicit priorities to make the relevant scheduling assumptions clear.
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	473			1. Inspect or verify `smarthome.rebeca`.
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	511			However, the updated `smarthome.rebeca` model can also be sanity-checked with RMC by copying it temporarily into the TR benchmark layout and running the RMC batch script. This should be treated as an optional local check, not as part of the committed verifier benchmark set.
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	518			- The main ReLico artifact is the Timed Rebeca → Lingua Franca translator. This smart-home example shows how translated code can be used in an end-to-end deployment path.
ReLico-fmcad-2026-artifact-v1/examples/hardware/smarthome/README.md	text-command-or-build-metadata	534			- `smarthome.rebeca`
ReLico-fmcad-2026-artifact-v1/pom.xml	text-command-or-build-metadata	5			<groupId>org.rebecalang</groupId>
ReLico-fmcad-2026-artifact-v1/scripts/docker_smoke_test.sh	text-command-or-build-metadata	7			"echo ""=== Java ==="""
ReLico-fmcad-2026-artifact-v1/scripts/docker_smoke_test.sh	text-command-or-build-metadata	8			java -version
ReLico-fmcad-2026-artifact-v1/scripts/docker_smoke_test.sh	text-command-or-build-metadata	23			org.codehaus.mojo:exec-maven-plugin:3.1.0:java \
ReLico-fmcad-2026-artifact-v1/scripts/docker_smoke_test.sh	text-command-or-build-metadata	24			"-Dexec.mainClass=""org.rebecalang.compiler.RebecaCompilerMain"""
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	4			"<jxb:bindings schemaLocation=""corerebecaexpressionobjectmodel.xsd"">"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	6			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.DotPrimary"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	9			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Expression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	12			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ArrayType"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	15			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BinaryExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	18			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.CastExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	21			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Literal"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	24			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.NonDetExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	27			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.OrdinaryPrimitiveType"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	30			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.PlusSubExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	33			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.PrimaryExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	36			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ParentSuffixPrimary"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	39			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Statement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	42			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.TermPrimary"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	45			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.TernaryExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	48			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.UnaryExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	51			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Type"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	54			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Annotation"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	57			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.GenericType"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	60			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.GenericTypeInstance"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	63			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.InstanceofExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	66			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Label"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	69			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.RebecInstantiationPrimary"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	72			"<jxb:bindings schemaLocation=""corerebecaobjectmodel.xsd"">"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	74			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.AccessModifier"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	77			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ArrayVariableInitializer"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	80			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BaseClassDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	83			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BlockStatement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	86			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BreakStatement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	89			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ConditionalStatement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	92			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ConstructorDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	95			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ContinueStatement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	98			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.FieldDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	101			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ForInitializer"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	104			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ForStatement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	108			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.FormalParameterDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	111			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ImportDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	114			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.InterfaceDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	117			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.MainDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	120			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.MainRebecDefinition"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	123			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.MethodDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	126			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.MsgsrvDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	129			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.OrdinaryVariableInitializer"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	133			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.PackageDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	136			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ReactiveClassDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	138			"<jxb:bindings node=""//xs:complexType[@name='RebecaCode']"">"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	139			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.RebecaCode"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	141			"<jxb:bindings node=""//xs:element[@name='RebecaModel']"">"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	142			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.RebecaModel"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	145			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.RecordContent"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	148			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.RecordDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	151			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ReturnStatement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	154			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.SwitchStatement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	157			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.SwitchStatementGroup"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	160			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.SynchMethodDeclaration"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	163			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.VariableDeclarator"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	166			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.VariableInitializer"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/hybridrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	169			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.WhileStatement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	4			"<jxb:bindings schemaLocation=""corerebecaexpressionobjectmodel.xsd"">"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	6			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.DotPrimary"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	9			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Expression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	12			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.ArrayType"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	15			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.BinaryExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	18			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.CastExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	21			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Literal"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	24			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.NonDetExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	27			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.OrdinaryPrimitiveType"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	30			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.PlusSubExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	33			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.PrimaryExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	36			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.parentSuffixPrimary"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	39			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Statement"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	42			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.TermPrimary"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	45			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.TernaryExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	48			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.UnaryExpression"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	51			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Type"" />"
ReLico-fmcad-2026-artifact-v1/src/main/resources/org/rebecalang/compiler/modelcompiler/objectmodel/probabilisticrebecaobjectmodel-bindings.xml	text-command-or-build-metadata	54			"<jxb:class ref=""org.rebecalang.compiler.modelcompiler.corerebeca.objectmodel.Annotation"" />"
