source	path	line	file_type	semantic_level	observed_syntax_forms	source_line	context
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/timedrebeca/TimedRebecaCompleteCompilerFacade.java	195	.java	unresolved-priority		"""Value of priority must be an integer expression"", annotation.getLineNumber(),"	"private boolean checkIfTheValueOfPriorityAnnotationIsInteger(Pair<Type, Object> valueCheckResult, Annotation annotation) { if(!valueCheckResult.getFirst().canTypeUpCastTo(CoreRebecaTypeSystem.INT_TYPE)) { CodeCompilationException cce = new CodeCompilationException( ""Value of priority must be an integer expression"", annotation.getLineNumber(), annotation.getCharacter()); exceptionContainer.addException(cce); return false; }"
official-compiler	src/main/resources/org/rebecalang/compiler/modelcompiler/grammar/HybridRebecaLexer.g4	17	.g4	unresolved-priority		PRIORITIES	; GUARD : 'guard' ; PRIORITIES : 'priorities' ; PRIME : '\''
official-compiler	src/main/resources/org/rebecalang/compiler/modelcompiler/grammar/HybridRebecaLexer.g4	18	.g4	unresolved-priority		: 'priorities'	GUARD : 'guard' ; PRIORITIES : 'priorities' ; PRIME : '\'' ;
official-compiler	src/test/java/org/rebecalang/compiler/modelcompiler/ModelStructureTest.java	129	.java	unresolved-priority		"expectedExceptionContainer.addException(new CodeCompilationException(""Conflict between local and global priority definitions"", 22, 2));"	"compiler.compileRebecaFile(model, extension, CoreVersion.CORE_2_1); ExceptionContainer expectedExceptionContainer = new ExceptionContainer(); expectedExceptionContainer.setCorrespondingResource(model); expectedExceptionContainer.addException(new CodeCompilationException(""Conflict between local and global priority definitions"", 22, 2)); expectedExceptionContainer.addException(new CodeCompilationException(""Value of priority must be an integer expression"", 30, 2)); Assertions.assertEquals(expectedExceptionContainer, exceptionContainer); }"
official-compiler	src/test/java/org/rebecalang/compiler/modelcompiler/ModelStructureTest.java	130	.java	unresolved-priority		"expectedExceptionContainer.addException(new CodeCompilationException(""Value of priority must be an integer expression"", 30, 2));"	"ExceptionContainer expectedExceptionContainer = new ExceptionContainer(); expectedExceptionContainer.setCorrespondingResource(model); expectedExceptionContainer.addException(new CodeCompilationException(""Conflict between local and global priority definitions"", 22, 2)); expectedExceptionContainer.addException(new CodeCompilationException(""Value of priority must be an integer expression"", 30, 2)); Assertions.assertEquals(expectedExceptionContainer, exceptionContainer); }"
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/TimedRebecaPriority.rebeca	11	.rebeca	local-message-server	@priority(3)	@priority(3)	} A() { } @priority(3) msgsrv m2() { } }
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/TimedRebecaPriority.rebeca	28	.rebeca	unresolved-priority	"@priority(""2"")|@priority(1)"	@priority(1)	"} } main { @priority(1) A a():(); @priority(""2"") B b():(); }"
official-compiler	src/test/resources/org/rebecalang/compiler/modelcompiler/TimedRebecaPriority.rebeca	30	.rebeca	unresolved-priority	"@priority(""2"")|@priority(1)"	"@priority(""2"")"	"main { @priority(1) A a():(); @priority(""2"") B b():(); }"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	34	.java	unresolved-priority		protected int priority = Integer.MAX_VALUE;	public void removeCustomMsgFromQueue(TimedMessageSpecification timedMessageSpecification) { queue.removeIf(timedPriorityQueueItem -> timedPriorityQueueItem.getItem().equals(timedMessageSpecification)); } protected int priority = Integer.MAX_VALUE; public void setFTTS(boolean isFTTS) { this.isFTTS = isFTTS; }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	45	.java	unresolved-priority		return priority;	return isFTTS; } public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	48	.java	unresolved-priority		public void setPriority(int priority) {	public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority; } public void setSchedulingPolicy(SchedulingPolicy schedulingPolicy) {
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	49	.java	unresolved-priority		this.priority = priority;	return priority; } public void setPriority(int priority) { this.priority = priority; } public void setSchedulingPolicy(SchedulingPolicy schedulingPolicy) { this.schedulingPolicy = schedulingPolicy;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	16	.java	unresolved-priority		protected int priority = Integer.MAX_VALUE;	private int minStartTime; private int maxStartTime; private int period; private int relativeDeadline; protected int priority = Integer.MAX_VALUE; public TimedMessageSpecification( String messageName, int priority,
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	20	.java	unresolved-priority		int priority,	protected int priority = Integer.MAX_VALUE; public TimedMessageSpecification( String messageName, int priority, Map<String, Object> parameters, BaseActorState<?> baseActorState, int minStartTime, int maxStartTime,
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	31	.java	unresolved-priority		this.priority = priority;	super(messageName, parameters, baseActorState); this.maxStartTime = maxStartTime; this.minStartTime = minStartTime; this.period = period; this.priority = priority; this.relativeDeadline = relativeDeadline; } @Override
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	39	.java	unresolved-priority		result = prime * result + priority;	@Override public int hashCode() { final int prime = 31; int result = super.hashCode(); result = prime * result + priority; return result; } @Override
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	49	.java	unresolved-priority		if (priority != other.priority) return false;	if (!super.equals(obj)) return false; TimedMessageSpecification other = (TimedMessageSpecification) obj; if (priority != other.priority) return false; return true; }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	83	.java	unresolved-priority		return priority;	return this.relativeDeadline; } public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority;
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	86	.java	unresolved-priority		public void setPriority(int priority) {	public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority; } public void export(PrintStream output) {
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	87	.java	unresolved-priority		this.priority = priority;	"return priority; } public void setPriority(int priority) { this.priority = priority; } public void export(PrintStream output) { output.print(""<message sender=\"""" + senderActorState.getName() +"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedRebecaModelChecker.java	142	.java	unresolved-priority		"if(!annotations.isEmpty() && !(Objects.requireNonNull(priorityStr = getAnnotation(annotations, ""priority""))).isEmpty()) {"	"for (ReactiveClassDeclaration reactiveClassDeclaration : rebecaModel.getRebecaCode().getReactiveClassDeclaration()) { if (!reactiveClassDeclaration.getName().equals(timedActorState.getTypeName())) continue; List<Annotation> annotations = reactiveClassDeclaration.getAnnotations(); String priorityStr; if(!annotations.isEmpty() && !(Objects.requireNonNull(priorityStr = getAnnotation(annotations, ""priority""))).isEmpty()) { timedActorState.setPriority(Integer.parseInt(priorityStr)); } }"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	62	.java	unresolved-priority		int priority = Integer.MAX_VALUE;	deadline = (int) tmcib.getDeadline(); } int period = Integer.MAX_VALUE; int priority = Integer.MAX_VALUE; TimedActorState receiverActorState = (TimedActorState) baseActorState.retrieveVariableValue(tmcib.getBase()); for (ReactiveClassDeclaration reactiveClassDeclaration : rebecaModel.getRebecaCode().getReactiveClassDeclaration()) {
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	77	.java	unresolved-priority		"if ((priorityStr = TimedRebecaModelChecker.getAnnotation(annotations, ""priority"")) != null) {"	"if (!annotations.isEmpty()) { if ((periodStr = TimedRebecaModelChecker.getAnnotation(annotations, ""period"")) != null) { period = Integer.parseInt(periodStr); } if ((priorityStr = TimedRebecaModelChecker.getAnnotation(annotations, ""priority"")) != null) { priority = Integer.parseInt(priorityStr); } } }"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	78	.java	unresolved-priority		priority = Integer.parseInt(priorityStr);	"if ((periodStr = TimedRebecaModelChecker.getAnnotation(annotations, ""period"")) != null) { period = Integer.parseInt(periodStr); } if ((priorityStr = TimedRebecaModelChecker.getAnnotation(annotations, ""priority"")) != null) { priority = Integer.parseInt(priorityStr); } } } }"
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	95	.java	unresolved-priority		tmcib.getMethodName(), priority, parameters, baseActorState, after, absoluteDeadline, deadline, period);	absoluteDeadline = deadline+currentTime; } TimedMessageSpecification msgSpec = new TimedMessageSpecification( tmcib.getMethodName(), priority, parameters, baseActorState, after, absoluteDeadline, deadline, period); receiverActorState.addToQueue(msgSpec); baseActorState.increasePC(); }
official-modelchecker	src/main/java/org/rebecalang/modelchecker/timedrebeca/utils/SchedulingPolicy.java	24	.java	unresolved-priority		"case ""PRIORITY"" -> SCHEDULING_ALGORITHM_PRIORITY;"	"case ""FIFO"" -> SCHEDULING_ALGORITHM_FIFO; case ""EDF"" -> SCHEDULING_ALGORITHM_EDF; case ""RMS"" -> SCHEDULING_ALGORITHM_RMS; case ""DMS"" -> SCHEDULING_ALGORITHM_DMS; case ""PRIORITY"" -> SCHEDULING_ALGORITHM_PRIORITY; default -> throw new ModelCheckingException(""Unknown scheduling policy "" + input); }; }"
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	37	.java	unresolved-priority		int priority = getPriority(state, actorsIds);	Transition<AbstractSystemState> transitions = new Transition<AbstractSystemState>(); Set<Integer> actorsIds = base.getActorsIds(); int priority = getPriority(state, actorsIds); boolean firstRound = true; for(Iterator<Integer> iterator = actorsIds.iterator(); iterator.hasNext();) { Integer actorId = iterator.next(); AbstractActorState baseActorState = base.getActorState(actorId);
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	43	.java	unresolved-priority		baseActorState.getPriority() > priority)	for(Iterator<Integer> iterator = actorsIds.iterator(); iterator.hasNext();) { Integer actorId = iterator.next(); AbstractActorState baseActorState = base.getActorState(actorId); if(!executeStatementSOSRule.isEnabled(baseActorState) || baseActorState.getPriority() > priority) continue; if(!firstRound) state = base.clone();
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	81	.java	unresolved-priority		int priority = Integer.MAX_VALUE;	return transitions; } private int getPriority(AbstractSystemState state, Set<Integer> actorsIds) { int priority = Integer.MAX_VALUE; for(Integer actorId : actorsIds) { AbstractActorState actorState = state.getActorState(actorId); if(executeStatementSOSRule.isEnabled(actorState)) priority = Math.min(priority, actorState.getPriority());
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	85	.java	unresolved-priority		priority = Math.min(priority, actorState.getPriority());	int priority = Integer.MAX_VALUE; for(Integer actorId : actorsIds) { AbstractActorState actorState = state.getActorState(actorId); if(executeStatementSOSRule.isEnabled(actorState)) priority = Math.min(priority, actorState.getPriority()); } return priority; }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	87	.java	unresolved-priority		return priority;	AbstractActorState actorState = state.getActorState(actorId); if(executeStatementSOSRule.isEnabled(actorState)) priority = Math.min(priority, actorState.getPriority()); } return priority; } private boolean isSendMessageTransition(Transition<AbstractActorState> transition) { List<Action> actions = transition.getDestinationsActions();
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	33	.java	unresolved-priority		protected int priority;	protected transient RILModel rilModel; protected int id; protected int priority; protected ActorScope scope; private static Logger logger = LogManager.getRootLogger();
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	40	.java	unresolved-priority		this.priority = MIN_PRIORITY;	private static Logger logger = LogManager.getRootLogger(); public AbstractActorState(int id) { this.id = id; this.priority = MIN_PRIORITY; scope = getNewActorScope(); } public int getId() {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	53	.java	unresolved-priority		return priority;	this.id = id; } public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	56	.java	unresolved-priority		public void setPriority(int priority) {	public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority; } public RILModel getRILModel() {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	57	.java	unresolved-priority		this.priority = priority;	return priority; } public void setPriority(int priority) { this.priority = priority; } public RILModel getRILModel() { return rilModel;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	175	.java	unresolved-priority		result = prime * result + priority;	"// public int deepHashCode() { final int prime = 31; int result = 1; result = prime * result + id; result = prime * result + priority; result = prime * result + ((scope == null) ? 0 : scope.hashCode()); logger.debug(""hashcode for {} is {}"", id, result); return result; }"
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	203	.java	unresolved-priority		if (priority != other.priority)	return false; AbstractActorState other = (AbstractActorState) obj; if (id != other.id) return false; if (priority != other.priority) return false; if (scope == null) { if (other.scope != null) return false;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/corerebeca/transitionsystem/state/CoreRebecaActorState.java	94	.java	actor-or-global-candidate		clonedState.priority = this.priority;	return actor; CoreRebecaActorState clonedState = new CoreRebecaActorState(this.id); CloningRepository.addActor(clonedState); clonedState.queue = CloningRepository.cloneArrayList(this.queue); clonedState.priority = this.priority; clonedState.rilModel = this.rilModel; clonedState.scope = this.scope.clone(); return clonedState; }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/timedrebeca/transitionsystem/state/TimedRebecaActorState.java	103	.java	actor-or-global-candidate		clonedState.priority = this.priority;	return actor; TimedRebecaActorState clonedState = new TimedRebecaActorState(this.id); CloningRepository.addActor(clonedState); clonedState.bag = CloningRepository.cloneArrayList(this.bag); clonedState.priority = this.priority; clonedState.rilModel = this.rilModel; clonedState.scope = this.scope.clone(); return clonedState; }
