scope	benchmark_id	property_id	category	formula	expected	observed	match_status	states	transitions	runtime_seconds	memory_bytes	interpretation	metric_provenance
semantic-corpus	general--message-circulation--positive	message-circulation-payload-bounds-invariant	safety invariant	PayloadBounded = (node0.seen >= 0) && (node0.seen <= 1) && (node1.seen >= 0) && (node1.seen <= 1);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Each node stores only the initial zero or circulating unit payload.	not retained in normalized snapshot
semantic-corpus	general--message-circulation--positive	message-circulation-delivery-witness	reachability witness	BothNodesNeverReceive = (node0.seen != 1) || (node1.seen != 1);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches a state where both nodes observed the unit payload.	not retained in normalized snapshot
semantic-corpus	general--partial-rebec-ordering--positive	partial-rebec-acknowledgement-bound-invariant	safety invariant	ResolutionBounded = (sender1.resolved >= 0) && (sender1.resolved < 2);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Resolved-chain count remains within one two-chain round before re-arming.	not retained in normalized snapshot
semantic-corpus	general--periodic-fork-composition--positive	periodic-fork-acknowledgement-bound-invariant	safety invariant	ResolutionBounded = (producer.resolved >= 0) && (producer.resolved < 3);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Acknowledgement count remains within one three-branch round.	not retained in normalized snapshot
semantic-corpus	general--periodic-fork-composition--positive	periodic-fork-branch-payload-invariant	safety invariant	BranchPayloadsValid = ((fast.value == 0) || (fast.value == 2)) && ((steady.value == 0) || (steady.value == 1));	TRUE	TRUE	MATCH	NA	NA	NA	NA	State-changing branches store only their initial or branch-specific payload.	not retained in normalized snapshot
semantic-corpus	general--periodic-fork-composition--positive	periodic-fork-branch-delivery-witness	reachability witness	ForkNeverCompletes = (fast.value != 2) || (steady.value != 1);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches the expected payload observations on both state-changing branches.	not retained in normalized snapshot
semantic-corpus	general--pingpong-case-study--positive	pingpong-payload-monitor-no-violation	monitor-contract check	PayloadIntegrity = (chk.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	No observed round-trip payload violates the monitor contract; both-leg completion is not established.	not retained in normalized snapshot
semantic-corpus	general--pipe-case-study--positive	pipe-endpoint-monitor-no-violation	monitor-contract check	ValueIntegrity = (chk.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	No endpoint value observed by the monitor is corrupt; endpoint reachability is not established.	not retained in normalized snapshot
semantic-corpus	general--processmsg-case-study--positive	processmsg-result-monitor-no-violation	monitor-contract check	NoCheckerViolation = (chk.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	No observed processing result violates the checker contract.	not retained in normalized snapshot
semantic-corpus	general--processmsg-case-study--positive	processmsg-zero-message-consistency-invariant	safety invariant	OkImpliesZeroMessage = (task.ok == 0) || (task.lastMsg == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Any observed successful task state stores message value zero.	not retained in normalized snapshot
semantic-corpus	general--processmsg-case-study--positive	processmsg-success-witness	reachability witness	SuccessNeverReached = (task.ok != 1);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches an observed successful task state.	not retained in normalized snapshot
semantic-corpus	general--safesend-case-study--positive	safesend-reply-monitor-no-violation	monitor-contract check	NoViolation = (chk.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	No observed event follows the error path or reports an invalid reply; reply delivery is not established.	not retained in normalized snapshot
semantic-corpus	general--smarthome-case-study--positive	smarthome-cold-scenario-invariant	safety invariant	ColdScenarioSafe = (central.fireAlarmActive == false) && (central.intrusionAlarmActive == false) && (central.emergencyModeActive == false) && (central.doorCloseRequested == false) && (rc1.lightOverrideActive == false);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Configured cold-scenario emergency, intrusion, fire, door-close, and light-override controls remain inactive.	not retained in normalized snapshot
semantic-corpus	general--smarthome-case-study--positive	smarthome-heater-actuation-witness	reachability witness	HeaterNeverTurnsOn = (heater1.on == false);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches heater actuation after the cold reading.	not retained in normalized snapshot
semantic-corpus	general--tcsma-case-study--positive	tcsma-station-routing-invariant	safety invariant	UserRoutingValid = ((user1.data == 0) || ((user1.data == 1) && (user1.receiver == 2))) && ((user2.data == 0) || ((user2.data == 1) && (user2.receiver == 1)));	TRUE	TRUE	MATCH	NA	NA	NA	NA	Each observed response carries the unit payload and targets the opposite station.	not retained in normalized snapshot
semantic-corpus	general--tcsma-case-study--positive	tcsma-two-station-response-witness	reachability witness	BothStationsNeverRespond = (user1.data != 1) || (user2.data != 1);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample witnesses both stations executing a response send; end-to-end delivery is not established.	not retained in normalized snapshot
semantic-corpus	general--tinyostdma-case-study--positive	tinyostdma-send-overlap-invariant	safety invariant	NoOverlappingSend = (sensorNodeSenderDevice.sendWhileBusy == false) && (receiver.sendWhileBusy == false);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Neither device starts another send while a destination remains pending.	not retained in normalized snapshot
semantic-corpus	general--tinyostdma-case-study--positive	tinyostdma-accepted-transmission-witness	reachability witness	MediumNeverCarriesTransmission = (medium.senderDevice == -1);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches an accepted medium transmission represented by a non-sentinel sender.	not retained in normalized snapshot
semantic-corpus	general--trigger-circular-composition--positive	trigger-circular-ring-order-invariant	safety invariant	ObservableOrder = ((node1.seen == 0) || (node0.seen == 1)) && ((node2.seen == 0) || (node1.seen == 1)) && ((node3.seen == 0) || (node2.seen == 1));	TRUE	TRUE	MATCH	NA	NA	NA	NA	A later ring node never records the round before its predecessor.	not retained in normalized snapshot
semantic-corpus	general--trigger-circular-composition--positive	trigger-circular-full-circulation-witness	reachability witness	RingNeverCompletes = (node0.seen != 1) || (node1.seen != 1) || (node2.seen != 1) || (node3.seen != 1);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches one complete trigger-activated circulation observed by all nodes.	not retained in normalized snapshot
semantic-corpus	general--unsafesend-case-study--positive	unsafesend-error-path-witness	negative witness	NoViolation = (chk.violation == 0);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample witnesses the intended unsafe error path setting the violation latch.	not retained in normalized snapshot
semantic-corpus	general--yarn-deadline-fifo-1am-case-study--positive	yarn-deadline-fifo-1am-marker-coherence-invariant	safety invariant	MarkerCoherence = (rm.m_queue_misses >= 0) && (rm.m_queue_misses <= rm.QUEUE_SIZE) && ((rm.m_update_miss == 0) || (rm.m_update_miss == 1)) && ((rm.m_job_complete == 0) || (rm.m_job_complete == 1)) && ((rm.m_update_miss + rm.m_job_complete) <= 1) && ((rm.m_queue_misses == 0) || ((rm.m_update_miss == 0) && (rm.m_job_complete == 0)));	TRUE	TRUE	MATCH	236	412	0	1888	Queue-expiration and handler-outcome markers remain bounded, exclusive, and coherent.	Stage 5D recorded RMC checker metrics
semantic-corpus	general--yarn-deadline-fifo-1am-case-study--positive	yarn-deadline-fifo-1am-job-completion-witness	reachability witness	JobCompletionNeverObserved = (rm.m_job_complete == 0);	FALSE	FALSE	MATCH	7	8	0	56	Counterexample reaches a successful ResourceManager.update event; this is not a liveness claim.	Stage 5D recorded RMC checker metrics
semantic-corpus	general--yarn-deadline-fifo-2am-case-study--positive	yarn-deadline-fifo-2am-marker-coherence-invariant	safety invariant	MarkerCoherence = (rm.m_queue_misses >= 0) && (rm.m_queue_misses <= rm.QUEUE_SIZE) && ((rm.m_update_miss == 0) || (rm.m_update_miss == 1)) && ((rm.m_job_complete == 0) || (rm.m_job_complete == 1)) && ((rm.m_update_miss + rm.m_job_complete) <= 1) && ((rm.m_queue_misses == 0) || ((rm.m_update_miss == 0) && (rm.m_job_complete == 0)));	TRUE	TRUE	MATCH	10919	27886	0	131028	Queue-expiration and handler-outcome markers remain bounded, exclusive, and coherent.	Stage 5D recorded RMC checker metrics
semantic-corpus	general--yarn-deadline-fifo-2am-case-study--positive	yarn-deadline-fifo-2am-job-completion-witness	reachability witness	JobCompletionNeverObserved = (rm.m_job_complete == 0);	FALSE	FALSE	MATCH	9	10	0	108	Counterexample reaches a successful ResourceManager.update event; the marker is transient.	Stage 5D recorded RMC checker metrics
semantic-corpus	general--yarn-deadline-fifo-3am-case-study--positive	yarn-deadline-fifo-3am-marker-coherence-invariant	safety invariant	MarkerCoherence = (rm.m_queue_misses >= 0) && (rm.m_queue_misses <= rm.QUEUE_SIZE) && ((rm.m_update_miss == 0) || (rm.m_update_miss == 1)) && ((rm.m_job_complete == 0) || (rm.m_job_complete == 1)) && ((rm.m_update_miss + rm.m_job_complete) <= 1) && ((rm.m_queue_misses == 0) || ((rm.m_update_miss == 0) && (rm.m_job_complete == 0)));	TRUE	TRUE	MATCH	541164	1850284	5	8658624	Queue-expiration and handler-outcome markers remain bounded, exclusive, and coherent.	Stage 5D recorded RMC checker metrics
semantic-corpus	general--yarn-deadline-fifo-3am-case-study--positive	yarn-deadline-fifo-3am-job-completion-witness	reachability witness	JobCompletionNeverObserved = (rm.m_job_complete == 0);	FALSE	FALSE	MATCH	11	12	0	176	Counterexample reaches a successful ResourceManager.update event; the marker is transient.	Stage 5D recorded RMC checker metrics
semantic-corpus	general--yarn-deadline-fifo-4am-case-study--positive	yarn-deadline-fifo-4am-marker-coherence-invariant	safety invariant	MarkerCoherence = (rm.m_queue_misses >= 0) && (rm.m_queue_misses <= rm.QUEUE_SIZE) && ((rm.m_update_miss == 0) || (rm.m_update_miss == 1)) && ((rm.m_job_complete == 0) || (rm.m_job_complete == 1)) && ((rm.m_update_miss + rm.m_job_complete) <= 1) && ((rm.m_queue_misses == 0) || ((rm.m_update_miss == 0) && (rm.m_job_complete == 0)));	TRUE	TRUE	MATCH	670232	2924598	10	13404640	Queue-expiration and handler-outcome markers remain bounded, exclusive, and coherent.	Stage 5D recorded RMC checker metrics
semantic-corpus	general--yarn-deadline-fifo-4am-case-study--positive	yarn-deadline-fifo-4am-job-completion-witness	reachability witness	JobCompletionNeverObserved = (rm.m_job_complete == 0);	FALSE	FALSE	MATCH	13	14	0	260	Counterexample reaches a successful ResourceManager.update event; projected doneJobs counters preclude cumulative-completion claims.	Stage 5D recorded RMC checker metrics
infrastructure-validation	general--election-case-study--positive	election-no-wrong-winner	safety invariant	NoWrongWinner = (chk.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Infrastructure check that node 0 is never accepted as the elected node.	not retained in normalized snapshot
infrastructure-validation	general--election-case-study--positive	election-node1-not-elected	reachability witness	Node1NotElected = (chk.seen1 == 0);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample validates infrastructure handling of an expected-FALSE election witness.	not retained in normalized snapshot
