page	extracted_line	matched_categories	excerpt
9	1084	correspondence	We can prove the second condition of the bisimulation
10	1217	priority	lights. Fire mode has priority: opens door, clears intrusion,
11	1234	priority	priority rule established in the DTR model and prevents the
11	1242	determinism	tions and deterministic coordination frameworks.
11	1250	correspondence	Cortex-M3 assembly with bisimulation-verified equivalence.
11	1253	determinism	Deterministic Coordination Languages: Deterministic
11	1259	priority	tion [23]. BIP [29] uses priority constraints [30], imple-
11	1263	priority	ministic Timed Rebeca to LF, mapping actors, priorities, and
11	1266	determinism	The semantic gap between non-deterministic actor-based
11	1268	determinism	and deterministic coordination languages, which are required
11	1271	determinism	to LF. We define a deterministic subset of Timed Rebeca
11	1272	priority	with priority-based message ordering and provide Structural
11	1274	correspondence	and the target Lingua Franca reactor model. Weak bisimulation
11	1276	scheduler	translation preserves timing and scheduling behavior. We fur-
11	1311	correspondence	darson, and M. Sirjani, “Modelling and simulation of asynchronous
11	1322	determinism	Franca for deterministic concurrent systems,” ACM Transactions on
11	1325	determinism	Hanxleden, and E. A. Lee, “Reactors: A deterministic model for
12	1356	correspondence	gólfsdóttir, and S. H. Sigurdarson, “Modelling and simulation of asyn-
12	1361	determinism	and E. A. Lee, “High-performance deterministic concurrency using
12	1378	determinism	[26] M. Lohstroh, “Deterministic concurrent systems: Reactors, time, and
12	1381	determinism	able determinism for software in cyber-physical systems,” in Verified
13	1421	determinism	A. Deterministic Timed Rebeca Syntax
13	1422	determinism	In this part, we give the syntax of Deterministic Timed
13	1425	priority	and extends it with priority annotations for actor instances and
13	1429	priority	InstanceDecl ::= Priority?C rebecName
13	1437	priority	MsgSrv ::= Priority? msgsrv msgsrvName
13	1439	priority	Priority ::= @priority (IntLit)
13	1446	determinism	Fig. 4. Syntax of Deterministic Timed Rebeca [18].
13	1472	scheduler	act.schedule(delay) ; |
