record_type	record_id	final_benchmark_id	mapping_status	matched_categories	record_json
obligation	BoundPayloadFoundation:0002	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""12"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadMessage"",""obligation_id"":""BoundPayloadFoundation:0002"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0003	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""16"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadDelay"",""obligation_id"":""BoundPayloadFoundation:0003"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0004	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""22"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadSourceExpression"",""obligation_id"":""BoundPayloadFoundation:0004"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0005	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""27"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadSourceServer"",""obligation_id"":""BoundPayloadFoundation:0005"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0006	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""50"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadTargetReaction"",""obligation_id"":""BoundPayloadFoundation:0006"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0007	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""55"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadParameters"",""obligation_id"":""BoundPayloadFoundation:0007"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0008	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""61"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadSourceState"",""obligation_id"":""BoundPayloadFoundation:0008"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0009	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""80"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadTargetTag"",""obligation_id"":""BoundPayloadFoundation:0009"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0010	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""90"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadTargetState"",""obligation_id"":""BoundPayloadFoundation:0010"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0011	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""109"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_formals_bind_exactly"",""obligation_id"":""BoundPayloadFoundation:0011"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0012	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""122"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_action_name_generated"",""obligation_id"":""BoundPayloadFoundation:0012"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0013	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""128"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_parameters_preserved"",""obligation_id"":""BoundPayloadFoundation:0013"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0014	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""133"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_priority_preserved"",""obligation_id"":""BoundPayloadFoundation:0014"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0015	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""138"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_body_compiles_exactly"",""obligation_id"":""BoundPayloadFoundation:0015"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0016	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""144"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_source_parameter_evaluates"",""obligation_id"":""BoundPayloadFoundation:0016"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0017	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""157"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_target_parameter_evaluates"",""obligation_id"":""BoundPayloadFoundation:0017"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0018	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""171"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_expression_evaluation_preserved"",""obligation_id"":""BoundPayloadFoundation:0018"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0019	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""188"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_foundation_states_correspond"",""obligation_id"":""BoundPayloadFoundation:0019"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	BoundPayloadFoundation:0020	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""theorem"",""line_number"":""210"",""mapping_status"":""accepted"",""name_or_expression"":""bound_payload_foundation_ordinary_queues_correspond"",""obligation_id"":""BoundPayloadFoundation:0020"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
obligation	DetailedExecutableTranslation:0001	multi-store--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--priority-selection--positive"",""kind"":""theorem"",""line_number"":""8"",""mapping_status"":""accepted"",""name_or_expression"":""public_detailed_forward_interface"",""obligation_id"":""DetailedExecutableTranslation:0001"",""original_benchmark_candidate"":""test-detailed-executable-translation"",""test_file"":""Relico/Tests/DetailedExecutableTranslation.lean""}"
obligation	DetailedExecutableTranslation:0002	multi-store--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--priority-selection--positive"",""kind"":""theorem"",""line_number"":""76"",""mapping_status"":""accepted"",""name_or_expression"":""public_detailed_backward_interface"",""obligation_id"":""DetailedExecutableTranslation:0002"",""original_benchmark_candidate"":""test-detailed-executable-translation"",""test_file"":""Relico/Tests/DetailedExecutableTranslation.lean""}"
obligation	DetailedInvariantCarryingBackwardMatch:0001	multi-store--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--priority-selection--positive"",""kind"":""theorem"",""line_number"":""8"",""mapping_status"":""accepted"",""name_or_expression"":""target_invariant_preservation_regression"",""obligation_id"":""DetailedInvariantCarryingBackwardMatch:0001"",""original_benchmark_candidate"":""test-detailed-invariant-carrying-backward-match"",""test_file"":""Relico/Tests/DetailedInvariantCarryingBackwardMatch.lean""}"
obligation	DetailedInvariantCarryingBackwardMatch:0002	multi-store--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--priority-selection--positive"",""kind"":""theorem"",""line_number"":""55"",""mapping_status"":""accepted"",""name_or_expression"":""source_weak_invariant_preservation_regression"",""obligation_id"":""DetailedInvariantCarryingBackwardMatch:0002"",""original_benchmark_candidate"":""test-detailed-invariant-carrying-backward-match"",""test_file"":""Relico/Tests/DetailedInvariantCarryingBackwardMatch.lean""}"
obligation	DetailedInvariantCarryingBackwardMatch:0003	multi-store--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--priority-selection--positive"",""kind"":""theorem"",""line_number"":""102"",""mapping_status"":""accepted"",""name_or_expression"":""backward_invariant_match_regression"",""obligation_id"":""DetailedInvariantCarryingBackwardMatch:0003"",""original_benchmark_candidate"":""test-detailed-invariant-carrying-backward-match"",""test_file"":""Relico/Tests/DetailedInvariantCarryingBackwardMatch.lean""}"
obligation	DetailedInvariantCarryingForwardMatch:0001	multi-store--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--priority-selection--positive"",""kind"":""theorem"",""line_number"":""8"",""mapping_status"":""accepted"",""name_or_expression"":""forward_invariant_match_regression"",""obligation_id"":""DetailedInvariantCarryingForwardMatch:0001"",""original_benchmark_candidate"":""test-detailed-invariant-carrying-forward-match"",""test_file"":""Relico/Tests/DetailedInvariantCarryingForwardMatch.lean""}"
obligation	DetailedInvariantCarryingForwardMatch:0002	multi-store--priority-selection--positive	accepted	priority	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--priority-selection--positive"",""kind"":""theorem"",""line_number"":""72"",""mapping_status"":""accepted"",""name_or_expression"":""forward_invariant_match_has_corresponding_destination"",""obligation_id"":""DetailedInvariantCarryingForwardMatch:0002"",""original_benchmark_candidate"":""test-detailed-invariant-carrying-forward-match"",""test_file"":""Relico/Tests/DetailedInvariantCarryingForwardMatch.lean""}"
obligation	DetailedPriorityRuntimeInvariant:0001	multi-store--dispatch--positive	accepted	priority|trace-or-step	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--dispatch--positive"",""kind"":""theorem"",""line_number"":""8"",""mapping_status"":""accepted"",""name_or_expression"":""generated_initial_state_has_priority_runtime_invariant"",""obligation_id"":""DetailedPriorityRuntimeInvariant:0001"",""original_benchmark_candidate"":""test-detailed-priority-runtime-invariant"",""test_file"":""Relico/Tests/DetailedPriorityRuntimeInvariant.lean""}"
obligation	DetailedPriorityRuntimeInvariant:0002	multi-store--dispatch--positive	accepted	priority|trace-or-step	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--dispatch--positive"",""kind"":""theorem"",""line_number"":""18"",""mapping_status"":""accepted"",""name_or_expression"":""forward_dispatch_compatibility_is_derived"",""obligation_id"":""DetailedPriorityRuntimeInvariant:0002"",""original_benchmark_candidate"":""test-detailed-priority-runtime-invariant"",""test_file"":""Relico/Tests/DetailedPriorityRuntimeInvariant.lean""}"
obligation	DetailedPriorityRuntimeInvariant:0003	multi-store--dispatch--positive	accepted	priority|trace-or-step	"{""classification"":""proof_obligation"",""evidence_role"":""source-capability"",""final_benchmark_id"":""multi-store--dispatch--positive"",""kind"":""theorem"",""line_number"":""49"",""mapping_status"":""accepted"",""name_or_expression"":""target_machine_step_preserves_full_invariant"",""obligation_id"":""DetailedPriorityRuntimeInvariant:0003"",""original_benchmark_candidate"":""test-detailed-priority-runtime-invariant"",""test_file"":""Relico/Tests/DetailedPriorityRuntimeInvariant.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0001	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""8"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadBagQueueCorresponds"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0001"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0002	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""11"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadBagQueueCorresponds.toBagQueueCorresponds"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0002"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0003	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""14"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadBagQueueCorresponds.perm_source"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0003"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0004	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""17"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadBagQueueCorresponds.perm_target"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0004"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0005	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""20"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadBagQueueCorresponds.append_one"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0005"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0006	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""23"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.PayloadQueueCorresponds.append_one"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0006"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0007	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""26"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.PayloadQueueCorresponds.pendingPayloadCorresponds_of_aligned"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0007"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0008	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""29"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadOrderedSelectionCompatible"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0008"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0009	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""32"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadOrderedSelectionCompatible.toOrderedSelectionCompatible"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0009"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0010	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""35"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadOrderedSelectionCompatible.alignedPayload"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0010"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0011	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""38"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadSelectionCompatible"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0011"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0012	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""41"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadSelectionCompatible.toSelectionCompatible"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0012"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
obligation	DirectLFPayloadSelectionCompatibility:0013	payload--priority-selection--positive	accepted	priority	"{""classification"":""type_or_api_check"",""evidence_role"":""source-capability"",""final_benchmark_id"":""payload--priority-selection--positive"",""kind"":""#check"",""line_number"":""44"",""mapping_status"":""accepted"",""name_or_expression"":""#check Correctness.DirectLFPayloadSelectionCompatible.toPayloadBagQueueCorresponds"",""obligation_id"":""DirectLFPayloadSelectionCompatibility:0013"",""original_benchmark_candidate"":""test-direct-lfpayload-selection-compatibility"",""test_file"":""Relico/Tests/DirectLFPayloadSelectionCompatibility.lean""}"
