category	path	state	role	proposed_action	evidence
benchmark-harness	tests/benchmarks/registry/benchmarks.tsv	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/registry/coverage-audit.txt	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/registry/final-b1-summary.txt	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/registry/legacy-script-migration.tsv	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/registry/obligations.tsv	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/registry/shared-formal-evidence.tsv	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/registry/source-model-plan.tsv	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/schema/benchmark-manifest.schema.json	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/schema/stage-result.schema.json	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
frontend-enforcement	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	Relico/Correctness/GlobalMultiStorePayloadDeclaredFragment.lean	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	Relico/Correctness/GlobalMultiStorePayloadDispatchCorrespondence.lean	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	Relico/Correctness/GlobalMultiStorePayloadExternalSendCorrespondence.lean	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	Relico/DTR/GlobalMultiStorePayloadExternalSend.lean	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	frontend/fixtures/multistore-priority.json	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	frontend/java-bridge/RebecaMultiStoreJsonExporter.java	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	frontend/java-bridge/RebecaStoreJsonExporter.java	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	frontend/java-bridge/RebecaV0JsonExporter.java	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	tests/benchmarks/registry/benchmarks.tsv	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	tests/benchmarks/registry/obligations.tsv	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
frontend-enforcement	tests/benchmarks/registry/source-model-plan.tsv	existing	Candidate annotation rejection or actor-priority path.	Inspect before mutation; retain local-priority support.	Static annotation and priority search.
