category	path	line	source_line	bypass_risk
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	37	explicitActorPriorityRequest_rejected []	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	42	(request : ActorPriorityRequest) :	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	54	boundary_without_actor_priority	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	61	(assignment : ActorPriorityAssignment) :	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	63	boundary_rejects_explicit_actor_priority	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	74	end GlobalMultiStorePayloadActorPriorityBoundary	enforcement-evidence
actor_priority	frontend/fixtures/multistore-priority.json	5	"""actorClass"": ""PriorityController"","	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStoreJsonExporter.java	578	"""multiple @priority annotations on "" +"	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStoreJsonExporter.java	586	"""@priority annotation without a value"""	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStoreJsonExporter.java	591	"""@priority value was not normalized "" +"	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStoreJsonExporter.java	599	"""@priority value"""	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStoreJsonExporter.java	607	"""@priority value must be nonnegative"""	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	603	"""multiple @priority annotations on "" +"	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	611	"""@priority annotation without a value"""	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	616	"""@priority value was not normalized "" +"	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	624	"""@priority value"""	enforcement-evidence
actor_priority	frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	632	"""@priority value must be nonnegative"""	enforcement-evidence
actor_priority	tests/benchmarks/registry/benchmarks.tsv	34	global-multi-actor-payload--priority-selection--negative global-multi-actor-payload priority-selection negative 1 10 expected-boundary-or-rejection source,rmc,parser-json,decoded-dtr-ast,expected-boundary-stage,diagnostics yes tests/benchmarks/global-multi-actor-payload--priority-selection--negative/source/model.rebeca planned	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	705	GlobalMultiStorePayloadActorPriorityBoundary:0001 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 8 theorem sourceMetadata_absent proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	706	GlobalMultiStorePayloadActorPriorityBoundary:0002 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 13 theorem targetMetadata_absent proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	707	GlobalMultiStorePayloadActorPriorityBoundary:0003 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 18 theorem sourceTargetMetadata_correspond proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	708	GlobalMultiStorePayloadActorPriorityBoundary:0004 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 24 theorem absentRequest_supported proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	709	GlobalMultiStorePayloadActorPriorityBoundary:0005 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 28 theorem explicitRequest_rejected proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	710	GlobalMultiStorePayloadActorPriorityBoundary:0006 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 33 theorem emptyExplicitAssignment_rejected proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	711	GlobalMultiStorePayloadActorPriorityBoundary:0007 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 38 theorem boundary_characterization proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	712	GlobalMultiStorePayloadActorPriorityBoundary:0008 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 49 theorem absentBoundary_supported proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	713	GlobalMultiStorePayloadActorPriorityBoundary:0009 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 57 theorem explicitBoundary_rejected proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/obligations.tsv	714	GlobalMultiStorePayloadActorPriorityBoundary:0010 Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean 67 theorem localPriority_preserved proof_obligation test-global-multi-store-payload-actor-priority-boundary global-multi-actor-payload--priority-selection--negative source-capability accepted	enforcement-evidence
actor_priority	tests/benchmarks/registry/source-model-plan.tsv	34	global-multi-actor-payload--priority-selection--negative tests/benchmarks/global-multi-actor-payload--priority-selection--negative tests/benchmarks/global-multi-actor-payload--priority-selection--negative/source/model.rebeca negative 1 10 6	enforcement-evidence
annotation_rejection	frontend/java-bridge/RebecaMultiStoreJsonExporter.java	321	"""main-actor annotations"""	enforcement-evidence
annotation_rejection	frontend/java-bridge/RebecaMultiStorePayloadJsonExporter.java	320	"""main-actor annotations"""	enforcement-evidence
annotation_rejection	frontend/java-bridge/RebecaStoreJsonExporter.java	307	"""main-actor annotations"""	enforcement-evidence
annotation_rejection	frontend/java-bridge/RebecaV0JsonExporter.java	280	"""main-actor annotations"""	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	10	def decodeModelFile (jsonPath : String) : IO (Except UInt32 DTR.Model) := do	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	11	let jsonText ← IO.FS.readFile jsonPath	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	12	match Frontend.decodeModelText jsonText with	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	19	def exportDecodedDtrAst (jsonPath outputPath : String) : IO UInt32 := do	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	20	match ← decodeModelFile jsonPath with	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	26	def translateModelFile (jsonPath : String) : IO (Except UInt32 LF.Program) := do	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	27	match ← decodeModelFile jsonPath with	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	36	def exportTranslatedLfAst (jsonPath outputPath : String) : IO UInt32 := do	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	37	match ← translateModelFile jsonPath with	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	43	def exportLfSource (jsonPath outputPath : String) : IO UInt32 := do	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	44	match ← translateModelFile jsonPath with	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	55	"| [""decoded-dtr-ast"", jsonPath, outputPath] =>"	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	56	Relico.Benchmark.exportDecodedDtrAst jsonPath outputPath	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	57	"| [""translated-lf-ast"", jsonPath, outputPath] =>"	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	58	Relico.Benchmark.exportTranslatedLfAst jsonPath outputPath	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	59	"| [""lf-source"", jsonPath, outputPath] =>"	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	60	Relico.Benchmark.exportLfSource jsonPath outputPath	enforcement-evidence
json_emission	Relico/Benchmark/ArtifactExporter.lean	62	"IO.eprintln ""usage: ArtifactExporter <decoded-dtr-ast|translated-lf-ast|lf-source> <input.json> <output>"""	enforcement-evidence
json_emission	Relico/Correctness/GlobalMultiStorePayloadOneStepCorrespondence.lean	77	The current frame API exports no target-to-source reflection theorem.	enforcement-evidence
json_emission	Relico/Frontend/BridgeCheck.lean	10	(jsonPath lfPath : String) :	enforcement-evidence
json_emission	Relico/Frontend/BridgeCheck.lean	13	let jsonText ←	enforcement-evidence
json_emission	Relico/Frontend/BridgeCheck.lean	14	IO.FS.readFile jsonPath	enforcement-evidence
json_emission	Relico/Frontend/BridgeCheck.lean	16	match decodeModelText jsonText with	enforcement-evidence
json_emission	Relico/Frontend/BridgeCheck.lean	54	| [jsonPath, lfPath] =>	enforcement-evidence
json_emission	Relico/Frontend/BridgeCheck.lean	56	jsonPath	enforcement-evidence
json_emission	Relico/Frontend/BridgeCheck.lean	61	"""usage: BridgeCheck <input.json> <output.lf>"""	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	16	| invalidJson (message : String)	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	30	| .invalidJson message =>	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	31	"""invalid JSON: "" ++ message"	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	274	Parse JSON text and decode it into the current Lean DTR AST.	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	280	let json ←	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	281	match Lean.Json.parse text with	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	282	| .ok json =>	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	283	.ok json	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	286	(.invalidJson message)	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	290	(Lean.fromJson? json :	enforcement-evidence
json_emission	Relico/Frontend/Decoder.lean	297	(.invalidJson message)	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreBridgeCheck.lean	78	let jsonText ←	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreBridgeCheck.lean	84	jsonText	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreBridgeCheck.lean	108	let jsonText ←	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreBridgeCheck.lean	114	jsonText	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreBridgeCheck.lean	146	"s!""Decoded multi-server JSON and wrote summary: {summaryPath}"""	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreBridgeCheck.lean	149	"s!""Decoded multi-server JSON and wrote LF/C++ source: {lfPath}"""	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreBridgeCheck.lean	174	"""usage: MultiStoreBridgeCheck <input.json> <summary.txt> [output.lf]"""	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreDecoder.lean	327	Parse schema-version-3 JSON text and decode it into the current	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreDecoder.lean	334	let json ←	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreDecoder.lean	335	match Lean.Json.parse text with	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreDecoder.lean	337	| .ok json =>	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreDecoder.lean	338	.ok json	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreDecoder.lean	342	(.invalidJson message)	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreDecoder.lean	346	(Lean.fromJson? json :	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreDecoder.lean	355	(.invalidJson message)	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadBridgeCheck.lean	17	(jsonPath : String) :	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadBridgeCheck.lean	21	IO.FS.readFile jsonPath	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadCppBackend.lean	10	Decode one versioned multi-store-payload JSON artifact, translate it,	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadCppBackend.lean	14	(jsonPath : String)	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadCppBackend.lean	20	jsonPath	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadDecoder.lean	456	Parse JSON text and decode it into `DTR.MultiStorePayloadModel`.	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadDecoder.lean	463	let json ←	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadDecoder.lean	464	match Lean.Json.parse text with	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadDecoder.lean	471	"(""invalid JSON: "" ++"	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadDecoder.lean	476	(Lean.fromJson? json :	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadSchema.lean	1	import Lean.Data.Json	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadSchema.lean	44	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadSchema.lean	78	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadSchema.lean	87	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadSchema.lean	107	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/MultiStorePayloadSchema.lean	137	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreSchema.lean	33	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/MultiStoreSchema.lean	63	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/Schema.lean	1	import Lean.Data.Json	enforcement-evidence
json_emission	Relico/Frontend/Schema.lean	29	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/Schema.lean	45	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/Schema.lean	63	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/StoreBridgeCheck.lean	10	(jsonPath lfPath : String) :	enforcement-evidence
json_emission	Relico/Frontend/StoreBridgeCheck.lean	13	let jsonText ←	enforcement-evidence
json_emission	Relico/Frontend/StoreBridgeCheck.lean	14	IO.FS.readFile jsonPath	enforcement-evidence
json_emission	Relico/Frontend/StoreBridgeCheck.lean	16	match decodeStoreModelText jsonText with	enforcement-evidence
json_emission	Relico/Frontend/StoreBridgeCheck.lean	39	"s!""Decoded finite-store JSON and wrote LF/C++ source: {lfPath}"""	enforcement-evidence
json_emission	Relico/Frontend/StoreBridgeCheck.lean	51	| [jsonPath, lfPath] =>	enforcement-evidence
json_emission	Relico/Frontend/StoreBridgeCheck.lean	53	jsonPath	enforcement-evidence
json_emission	Relico/Frontend/StoreBridgeCheck.lean	58	"""usage: StoreBridgeCheck <input.json> <output.lf>"""	enforcement-evidence
json_emission	Relico/Frontend/StoreDecoder.lean	255	let json ←	enforcement-evidence
json_emission	Relico/Frontend/StoreDecoder.lean	256	match Lean.Json.parse text with	enforcement-evidence
json_emission	Relico/Frontend/StoreDecoder.lean	257	| .ok json =>	enforcement-evidence
json_emission	Relico/Frontend/StoreDecoder.lean	258	.ok json	enforcement-evidence
json_emission	Relico/Frontend/StoreDecoder.lean	261	(.invalidJson message)	enforcement-evidence
json_emission	Relico/Frontend/StoreDecoder.lean	265	(Lean.fromJson? json :	enforcement-evidence
json_emission	Relico/Frontend/StoreDecoder.lean	272	(.invalidJson message)	enforcement-evidence
json_emission	Relico/Frontend/StoreSchema.lean	16	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Frontend/StoreSchema.lean	27	deriving Repr, DecidableEq, FromJson, ToJson	enforcement-evidence
json_emission	Relico/Tests/FrontendDecoder.lean	70	def validBridgeJson : String :=	enforcement-evidence
json_emission	Relico/Tests/FrontendDecoder.lean	110	def validJsonDecodeTest : Bool :=	enforcement-evidence
json_emission	Relico/Tests/FrontendDecoder.lean	113	validBridgeJson	enforcement-evidence
json_emission	Relico/Tests/FrontendDecoder.lean	120	#guard validJsonDecodeTest	enforcement-evidence
json_emission	Relico/Tests/MultiStorePayloadFrontend.lean	163	"""/payload-single.parser.json"")"	enforcement-evidence
json_emission	Relico/Tests/MultiStorePayloadFrontend.lean	168	"""/invalid-missing-formal.json"")"	enforcement-evidence
json_emission	Relico/Tests/MultiStorePayloadFrontend.lean	173	"""/invalid-arity-mismatch.json"")"	enforcement-evidence
json_emission	Relico/Tests/MultiStorePayloadFrontend.lean	178	"""/invalid-unknown-parameter.json"")"	enforcement-evidence
json_emission	Relico/Tests/MultiStorePayloadFrontend.lean	183	"""/invalid-unsupported-expression.json"")"	enforcement-evidence
json_emission	Relico/Tests/MultiStorePayloadFrontend.lean	188	"""/invalid-negative-delay.json"")"	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	18	"POSITIVE_EXPECTED=""$REPOSITORY_ROOT/frontend/fixtures/multi-store-payload/payload-single.parser.json"""	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	21	"SCOPE_EXPECTED=""$REPOSITORY_ROOT/frontend/fixtures/multi-store-payload/payload-scope.parser.json"""	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	28	"POSITIVE_JSON=""$POSITIVE_DIRECTORY/payload-single.parser.json"""	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	29	"SCOPE_JSON=""$SCOPE_DIRECTORY/payload-scope.parser.json"""	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	48	"""$POSITIVE_JSON"""	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	53	"""$SCOPE_JSON"""	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	57	"""$POSITIVE_JSON"" \"	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	59	"""$SCOPE_JSON"" <<'JSON_CONTRACT_PY'"	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	62	import json	enforcement-evidence
json_emission	frontend/check-multistore-payload-backend.sh	67	positive_expected = json.loads(	enforcement-evidence
